Vecka;Engelska;Svenska;Felsvar_engelska;Felsvar_svenska
1 - Familj;mother;mamma;father, sister, grandmother;pappa, syster, mormor
1 - Familj;father;pappa;mother, brother, grandfather;mamma, bror, farfar
1 - Familj;sister;syster;brother, cousin, mother;bror, kusin, mamma
1 - Familj;brother;bror;sister, cousin, father;syster, kusin, pappa
1 - Familj;grandmother;mormor;grandfather, aunt, mother;morfar, moster, mamma
1 - Familj;grandfather;morfar;grandmother, uncle, father;mormor, morbror, pappa
1 - Familj;aunt;moster;uncle, cousin, grandmother;morbror, kusin, mormor
1 - Familj;uncle;morbror;aunt, cousin, grandfather;moster, kusin, morfar
1 - Familj;cousin;kusin;sister, aunt, baby;syster, moster, bebis
1 - Familj;baby;bebis;cousin, sister, child;kusin, syster, barn
2 - Skolan;teacher;lärare;friend, classroom, student;vän, klassrum, elev
2 - Skolan;classroom;klassrum;teacher, desk, break;lärare, bänk, rast
2 - Skolan;pencil;penna;ruler, eraser, book;linjal, suddgummi, bok
2 - Skolan;book;bok;pencil, homework, desk;penna, läxa, bänk
2 - Skolan;ruler;linjal;pencil, eraser, desk;penna, suddgummi, bänk
2 - Skolan;eraser;suddgummi;ruler, pencil, book;linjal, penna, bok
2 - Skolan;desk;skrivbord;classroom, chair, book;klassrum, stol, bok
2 - Skolan;break;rast;homework, classroom, friend;läxa, klassrum, vän
2 - Skolan;homework;läxa;break, book, teacher;rast, bok, lärare
2 - Skolan;friend;vän;teacher, cousin, classroom;lärare, kusin, klassrum
3 - Djur;dog;hund;cat, cow, mouse;katt, ko, mus
3 - Djur;cat;katt;dog, rabbit, mouse;hund, kanin, mus
3 - Djur;horse;häst;cow, sheep, dog;ko, får, hund
3 - Djur;rabbit;kanin;mouse, cat, sheep;mus, katt, får
3 - Djur;bird;fågel;fish, spider, mouse;fisk, spindel, mus
3 - Djur;fish;fisk;bird, sheep, cow;fågel, får, ko
3 - Djur;cow;ko;horse, sheep, dog;häst, får, hund
3 - Djur;sheep;får;cow, horse, rabbit;ko, häst, kanin
3 - Djur;spider;spindel;bird, mouse, fish;fågel, mus, fisk
3 - Djur;mouse;mus;rabbit, cat, spider;kanin, katt, spindel
4 - Mat;apple;äpple;banana, bread, potato;banan, bröd, potatis
4 - Mat;bread;bröd;cheese, rice, apple;ost, ris, äpple
4 - Mat;milk;mjölk;water, egg, cheese;vatten, ägg, ost
4 - Mat;cheese;ost;bread, milk, egg;bröd, mjölk, ägg
4 - Mat;egg;ägg;milk, cheese, chicken;mjölk, ost, kyckling
4 - Mat;water;vatten;milk, rice, bread;mjölk, ris, bröd
4 - Mat;banana;banan;apple, potato, rice;äpple, potatis, ris
4 - Mat;potato;potatis;rice, banana, bread;ris, banan, bröd
4 - Mat;rice;ris;potato, water, bread;potatis, vatten, bröd
4 - Mat;chicken;kyckling;egg, cheese, milk;ägg, ost, mjölk
5 - Kroppen;head;huvud;hand, hair, ear;hand, hår, öra
5 - Kroppen;arm;arm;leg, hand, foot;ben, hand, fot
5 - Kroppen;leg;ben;arm, foot, hand;arm, fot, hand
5 - Kroppen;hand;hand;arm, foot, leg;arm, fot, ben
5 - Kroppen;foot;fot;hand, leg, arm;hand, ben, arm
5 - Kroppen;eye;öga;ear, nose, mouth;öra, näsa, mun
5 - Kroppen;ear;öra;eye, nose, mouth;öga, näsa, mun
5 - Kroppen;nose;näsa;mouth, ear, eye;mun, öra, öga
5 - Kroppen;mouth;mun;nose, ear, eye;näsa, öra, öga
5 - Kroppen;hair;hår;head, ear, eye;huvud, öra, öga
6 - Väder;sunny;soligt;warm, cloudy, summer;varmt, molnigt, sommar
6 - Väder;rainy;regnigt;cloudy, windy, cold;molnigt, blåsigt, kallt
6 - Väder;cloudy;molnigt;rainy, windy, cold;regnigt, blåsigt, kallt
6 - Väder;windy;blåsigt;rainy, cloudy, snowy;regnigt, molnigt, snöigt
6 - Väder;snowy;snöigt;cold, winter, windy;kallt, vinter, blåsigt
6 - Väder;warm;varmt;sunny, summer, cold;soligt, sommar, kallt
6 - Väder;cold;kallt;snowy, winter, warm;snöigt, vinter, varmt
6 - Väder;spring;vår;summer, warm, sunny;sommar, varmt, soligt
6 - Väder;summer;sommar;spring, warm, sunny;vår, varmt, soligt
6 - Väder;winter;vinter;snowy, cold, autumn;snöigt, kallt, höst
